schema:award,schema:countryOfOrigin,schema:sourceOrganization,schema:coursePrerequisites,schema:citation,schema:courseCode,schema:copyrightNotice,schema:discussionUrl,schema:license,schema:associatedMedia,schema:additionalType,schema:availableLanguage,schema:mainEntityOfPage,schema:accessibilitySummary,schema:educationalCredentialAwarded,schema:awards,schema:fileFormat,schema:totalHistoricalEnrollment,schema:acquireLicensePage,schema:name,schema:contentReferenceTime,schema:text,schema:financialAidEligible,dcterms:identifier,schema:position,schema:creator,schema:creditText,schema:teaches,schema:schemaVersion,schema:maintainer,schema:encoding,schema:isBasedOnUrl,schema:owner,schema:pattern,schema:video,schema:audio,schema:dateCreated,schema:publication,schema:translator,schema:learningResourceType,schema:sdPublisher,schema:offers,schema:material,schema:funder,schema:thumbnail,schema:contentLocation,schema:about,schema:contributor,schema:workTranslation,schema:comment,schema:headline,schema:spatial,schema:sdLicense,schema:copyrightYear,schema:numberOfCredits,schema:educationalLevel,schema:creativeWorkStatus,schema:sponsor,schema:author,schema:translationOfWork,schema:commentCount,schema:audience,schema:datePublished,schema:temporalCoverage,schema:mainEntity,schema:subjectOf,schema:materialExtent,schema:releasedEvent,schema:timeRequired,schema:inLanguage,schema:assesses,schema:temporal,schema:encodingFormat,schema:hasCourseInstance,schema:producer,schema:editEIDR,schema:character,schema:alternativeHeadline,schema:mentions,schema:syllabusSections,schema:publisher,schema:conditionsOfAccess,schema:educationalAlignment,schema:educationalUse,schema:interpretedAsClaim,schema:accessModeSufficient,schema:digitalSourceType,schema:version,schema:priceCurrency,schema:contentRating,schema:genre,schema:recordedAt,schema:url,schema:isBasedOn,schema:accessibilityAPI,schema:archivedAt,schema:publishingPrinciples,schema:interactionStatistic,schema:copyrightHolder,schema:thumbnailUrl,schema:hasPart,schema:reviews,schema:encodings,schema:typicalAgeRange,schema:image,schema:isFamilyFriendly,schema:description,schema:price,schema:isPartOf,schema:abstract,schema:keywords,schema:disambiguatingDescription,schema:workExample,schema:correction,schema:usageInfo,schema:expires,schema:displayLocation,schema:locationCreated,schema:accessibilityFeature,schema:provider,schema:accountablePerson,schema:sdDatePublished,schema:accessMode,schema:wordCount,schema:funding,schema:sameAs,schema:size,schema:exampleOfWork,schema:accessibilityHazard,schema:dateModified,schema:accessibilityControl,schema:interactivityType,schema:isAccessibleForFree,schema:potentialAction,schema:publisherImprint,schema:alternateName,schema:occupationalCredentialAwarded,schema:review,schema:editor,schema:aggregateRating,schema:offers_url,schema:spatialCoverage
,,,,,,,,,,,,,,,,,,,Uso de pantallas,,,,,,,,,,,,,,,,,,,,,,,,,,,Tecnología,,,,,,,,,Intermediate,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100925,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/1cac3dd3-27bf-459a-9cfb-a882ac464232.png,,,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Jardinero a gran escala,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/20,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/6dc5ea3b-1f7f-4880-af08-13d6ab05f2e2.png,,"¡Bienvenido! 
 En este curso aprenderás todo lo que necesitas saber para diseñar, dar mantenimiento y cuidar de jardines y áreas verdes. 
 ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Técnico en cultivos vegetales,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/31,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/b81c52ce-b845-462b-bd9e-0d84dfc998c2.png,,"¡Bienvenido!   
  Con este curso desarrollarás las habilidades para seleccionar y preparar el terreno, sembrar, cuidar tu cultivo, cosechar y vender tu producción.  
  ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Técnico procesador de frutas y verduras,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/33,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/8dee0f88-b5b8-4db1-bb1d-c2c004f498ae.png,,"¡Bienvenido!   
  Obtén habilidades para elaborar, envasar y vender conservas de frutas y verduras, utilizando sal y azúcar, mientras sigues las medidas de seguridad e higiene.   
  ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Granjero de lechería (ordeña y alimentación),,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/52,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/9543bc0d-9265-44cd-89ba-181657e82d0a.png,,"¡Bienvenido! 
 En esta capacitación aprenderás a cuidar, limpiar, alimentar, ordeñar al ganado y ayudar en actividades relacionadas con la higiene de la granja. 
 ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Técnico en cultivo de vegetales orgánicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/86,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/8b8eaee1-66f2-4983-bda5-e25bb40a138c.png,,"¡Bienvenido! 
 Conoce cómo desarrollar un cultivo de vegetales orgánicos.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Promotor de artículos orgánicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/150,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/bf8bebfa-5590-442e-80ae-f50d899bfbc7.png,,"¡Bienvenido! 
 En esta capacitación aprenderás los procesos involucrados en la producción y promoción de artículos orgánicos, así como las regulaciones que te permiten  manipular, comercializar, crear proveedores y clientes para la venta de diversos productos orgánicos.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Productor de grillos,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/241,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/f35e8943-dd01-42a7-8258-cdce49b3568e.png,,"¡Bienvenido! 
 En esta capacitación obtendrás las herramientas básicas que te permitirán crear una granja de grillos destinados al consumo humano. 
 De esta manera, obtendrás una nueva fuente de ingresos y a su vez ayudarás a garantizar la seguridad alimentaria de tu comunidad. 
 ¡Te deseamos éxito!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Apicultor,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/280,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/dbe417c8-e0c1-419b-b815-a58dda18211b.png,,"¡Bienvenido! 
 En esta capacitación revisarás los elementos indispensables para formar un apiario que te permita recolectar los diferentes productos para consumo humano y, con ello, poder emprender un negocio. 
 ¡Te deseamos mucho éxito!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Productor de traspatio para autoconsumo,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/281,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/9e683797-1e80-4574-bd84-27375194ca96.png,,"¡Bienvenido! En este curso aprenderás a cultivar hortalizas, hierbas y frutos en ese pequeño espacio sobrante en tu traspatio; sin importar si vives en un departamento en la ciudad o en zonas rurales con un espacio de tierra mayor.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
